cnn_out,vmd_out,n_params,best_epoch,mae_all,rmse_all,r2_all,mae_a,rmse_a,r2_a,mae_b,rmse_b,r2_b
4,20,1726828,1,244.52,369.39,0.4294,125.58,220.09,0.8014,268.3,392.5,0.3533
6,18,1726634,1,240.52,364.51,0.4444,154.87,259.61,0.7231,269.07,393.31,0.3493
8,16,1726440,1,239.99,366.66,0.4378,177.78,290.94,0.6515,271.09,399.18,0.3284
10,14,1726246,1,245.11,364.0,0.446,203.47,316.39,0.587,274.86,394.51,0.3428
12,12,1726052,1,249.74,371.29,0.4235,220.4,340.32,0.5211,279.08,399.88,0.3237
14,10,1725858,1,261.06,384.47,0.3819,244.3,368.46,0.4375,284.52,405.84,0.3023
16,8,1725664,1,263.58,393.15,0.3537,250.83,385.41,0.3833,289.08,408.2,0.2931
18,6,1725470,1,286.53,421.63,0.2566,287.61,427.29,0.2406,283.3,404.18,0.3057
20,4,1725276,2,296.48,439.78,0.1913,297.11,446.63,0.1689,293.35,403.81,0.3055
22,2,1725082,5,323.22,479.83,0.0373,326.19,486.14,0.0136,290.62,403.98,0.3033
